Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2025-08-30 00:02:04 UTC+0000,6926751,12034618,13486932,11574826,7955215,3472694,830983,133216,17066,1989,82,4,40.47,507.88,5064,42844,268865,1069717,2062541,4310846,4928152,4376974,2185615,659581,4390938,55108068,549445919,4648826785,29173611732,116071034422,223798802325,467754143134,534735803015,474929425591,237153053708,71568715551
2025-08-30 12:02:03 UTC+0000,6927392,12036290,13500823,11582370,7957075,3471250,831050,133240,17082,1989,82,4,40.47,507.96,5070,42870,268916,1069344,2062598,4310476,4933740,4372267,2185567,659581,4394334,55153259,550486618,4654720139,29198111115,116106407906,223951174445,468019555970,535691812282,474728706707,237302831394,71615469306
2025-08-31 00:02:03 UTC+0000,6928507,12039380,13515092,11590479,7957565,3471461,830894,133250,17080,1989,82,4,40.48,508.12,5076,42895,268928,1069362,2062239,4310488,4933145,4372907,2186098,659581,4402269,55260633,552038554,4665102669,29247404347,116299015596,224279871312,468789419085,536506813061,475577866506,237750209496,71733069790
2025-08-31 12:02:03 UTC+0000,6929360,12040299,13520388,11595783,7959204,3471839,830974,133256,17085,1989,82,4,40.48,508.14,5078,42913,268966,1069425,2062562,4310650,4934163,4372571,2185005,659581,4389499,55094047,550609646,4652754060,29162021674,115950115335,223628917590,467373202059,534976217328,474086773577,236904571461,71513671500
2025-09-01 00:02:04 UTC+0000,6931906,12042281,13524861,11597150,7961091,3472350,831047,133244,17081,1989,82,4,40.50,508.21,5080,42923,269023,1069544,2062615,4310774,4933787,4370375,2187434,659581,4388641,55063690,550418633,4650680184,29148431432,115884265961,223482722935,467069049412,534572031840,473526741138,237006829604,71465087146
2025-09-01 12:02:03 UTC+0000,6935162,12044321,13519968,11599397,7961561,3472666,831172,133247,17078,1988,82,4,40.53,508.30,5077,42932,269043,1069578,2062728,4311019,4933113,4370536,2187759,659581,4400682,55190908,551259658,4661504824,29212661915,116134798530,223971073364,468090524323,535637473504,474552797096,237546934569,71617301345
2025-09-02 00:02:04 UTC+0000,6936716,12047044,13510713,11605426,7965041,3472946,831145,133249,17084,1986,83,4,40.54,508.43,5074,42957,269153,1069655,2062425,4311011,4934293,4367207,2190256,659581,4418541,55413502,553053740,4681924902,29335092038,116581996594,224784288886,469858273466,537789977086,475983062197,238716630765,71887905907
2025-09-02 12:02:03 UTC+0000,6939358,12048471,13505983,11596090,7964461,3473083,831132,133215,17079,1984,84,4,40.56,508.49,5072,42931,269139,1069674,2062576,4310304,4936457,4356196,2199967,659581,4461655,55935768,557905559,4722539455,29606147406,117667572393,226889912315,474147203775,543025990101,479195405706,242003360606,72555998213
2025-09-03 00:02:04 UTC+0000,6944205,12051578,13501197,11595697,7967165,3473416,831055,133236,17082,1983,83,4,40.59,508.65,5068,42934,269217,1069707,2062387,4310737,4938554,4353943,2200014,659581,4510219,56515770,563069432,4770342800,29912347519,118853848547,229149394468,478960788154,548716780840,483761354890,244440934218,73285244631
2025-09-03 12:02:02 UTC+0000,6946139,12048671,13506782,11605489,7958870,3470671,830914,133236,17080,1985,83,4,40.61,508.44,5071,42968,268888,1069139,2062091,4311230,4936780,4356126,2200479,659581,4528672,56703188,565532632,4791937545,29987259190,119233907155,229971334298,480802837783,550566249981,485809762992,245404782535,73558669600
